TeamID,TeamAbbrev,TeamName
1,ari,D-backs
2,atl,Braves
3,bal,Orioles
4,bos,Red Sox
5,chc,Cubs
6,cws,White Sox
7,cin,Reds
8,cle,Indians
9,col,Rockies
10,det,Tigers
11,mia,Marlins
12,hou,Astros
13,kan,Royals
14,laa,Angels
15,lad,Dodgers
16,mil,Brewers
17,min,Twins
18,nym,Mets
19,nyy,Yankees
20,oak,Athletics
21,phi,Phillies
22,pit,Pirates
23,sd,Padres
24,sf,Giants
25,sea,Mariners
26,stl,Cardinals
27,tb,Rays
28,tex,Rangers
29,tor,Blue Jays
30,wsh,Nationals
